Campaign_ID,Channel,Product_Category,Region,Longitude,Latitude,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Start_Date,End_Date,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment
CAM0034,Social Media,Electronics,Penang,100.3314,5.4141,205024,182527,627106,13678,0.2003,9349,0.619,606559,3.36,110,29/4/2023,12/5/2023,,6,Medium
CAM0035,Billboard,Electronics,Sarawak,110.3626,1.5532,222236,,779175,29099,,8281,0.3814,106135,2.17,181,20/5/2023,30/6/2023,1,8,Medium
CAM0036,Email,Groceries,Sarawak,110.3626,1.5532,164632,24587,36280,34447,0.2923,4389,0.3237,387895,,106,13/3/2023,1/11/2023,3,7,Medium
CAM0037,Radio,Electronics,Johor,103.662,1.492,489524,105435,381179,37233,0.1254,7801,0.3285,94120,4.33,129,27/6/2023,14/2/2023,4,6,Medium
CAM0038,Social Media,Electronics,Johor,103.662,1.492,141279,394172,28177,22125,1.006076522,3722,0.4952,339747,0.7,52,1/9/2023,16/7/2023,,,Medium
CAM0039,TV,Health,Kuala Lumpur,101.6869,3.139,244982,,105115,15448,0.6096,226,0.7482,348860,1.11,139,21/7/2023,13/5/2023,4,6,Medium
CAM0040,Billboard,Automotive,Sarawak,110.3626,1.5532,178084,56568,755022,33089,0.2024,5542,,582129,1.4,175,21/7/2023,,4,1,Low
CAM0041,Radio,Fashion,Penang,100.3314,5.4141,116271,100040,711959,7916,0.0513,7378,0.9318,,1.39,361,29/7/2023,5/2/2023,3,10,Low
CAM0042,Social Media,Health,Sarawak,110.3626,1.5532,363391,43684,221957,32289,0.0509,3159,0.3617,883636,1.74,17,6/12/2023,,2,1,Low
CAM0043,Billboard,Electronics,Penang,100.3314,5.4141,45443,,,20106,0.3078,1768,4.597408585,,,115,24/10/2023,5/7/2023,3,8,Medium
CAM0044,Email,Health,Penang,100.3314,5.4141,100990,3530658.454,988105,40674,0.3811,9274,0.9479,,2.24,38,1/6/2023,3/8/2023,1,7,High
CAM0045,Billboard,Electronics,Sarawak,110.3626,1.5532,125653,352441,798800,48697,0.2494,5474,0.2691,334337,0.22,277,29/8/2023,18/6/2023,,10,High
CAM0046,TV,Fashion,Sabah,116.0735,5.9783,422072,,735784,24582,,7847,0.3213,429024,0.27,246,19/10/2023,28/2/2023,5,2,Low
CAM0047,TV,Health,Sarawak,110.3626,1.5532,,191302,346560,25464,0.5518,,0.6178,663506,0.13,306,6/3/2023,11/4/2023,3,2,Low
CAM0048,TV,Groceries,Sarawak,110.3626,1.5532,37974,339679,707063,29594,0.7985,2208,0.0163,527787,,339,9/5/2023,21/11/2023,3,3,Medium
CAM0049,Social Media,Health,Penang,100.3314,5.4141,226647,,666045,,0.1088,8865,0.4611,631958,0.97,222,8/7/2023,18/3/2023,,9,High
CAM0050,Social Media,Groceries,Kuala Lumpur,101.6869,3.139,370735,3126301.794,279835,10725,0.6247,,,926391,4.12,73,31/12/2023,15/8/2023,4,4,Low
CAM0051,TV,Electronics,Kuala Lumpur,101.6869,3.139,489017,196768,563696,14987,0.4893,1464,0.8502,788064,4.76,60,11/4/2023,27/4/2023,4,1,High
CAM0052,Radio,Electronics,Sabah,116.0735,5.9783,77077,215686,47556,48657,0.3028,6582,0.6444,36149,4.57,98,30/10/2023,15/3/2023,4,8,Medium
CAM0053,TV,Groceries,Sarawak,110.3626,1.5532,337812,123640,853822,,0.7369,8263,0.7213,6496142.093,1.24,,27/12/2023,8/7/2023,1,5,
CAM0054,Email,Fashion,Sabah,116.0735,5.9783,,78242,,47580,0.602,,0.250133467,854151,0.06,192,7/7/2023,11/2/2023,5,,Medium
CAM0055,Email,Groceries,Sarawak,110.3626,1.5532,233875,,,6568,,1992,0.2196,656075,0.44,282,17/3/2023,20/3/2023,2,4,High
CAM0056,Billboard,Health,Johor,103.662,1.492,334658,306667,570471,10848,0.6999,2206,0.5857,877371,4.47,288,22/3/2023,17/1/2024,3,,Medium
CAM0057,Email,Health,Penang,100.3314,5.4141,293435,3793472.302,387331,45558,0.1286,8989,0.9252,59029,0.94,356,11/10/2023,12/8/2023,2,8,Low
CAM0058,Radio,Health,Penang,100.3314,5.4141,392610,56421,447783,2913,0.0472,2996,0.9305,258100,3.52,257,4/6/2023,14/5/2023,4,7,Low
CAM0059,TV,Fashion,Kuala Lumpur,101.6869,3.139,137400,386420,,24850,0.6548,1067,0.3525,917943,2.76,304,17/1/2023,30/6/2023,,7,High
CAM0060,Social Media,Fashion,Kuala Lumpur,101.6869,3.139,393921,33974,691136,43395,0.139,347,0.4943,,1.61,43,4/5/2023,18/7/2023,1,5,High
CAM0061,TV,Electronics,Johor,103.662,1.492,287494,162162,398956,24141,0.7594,,0.8788,307547,2.15,208,4/4/2023,24/1/2024,3,,High
CAM0062,Radio,Groceries,Kuala Lumpur,101.6869,3.139,451904,149947,508961,31689,0.1154,7142,0.6765,278677,,,5/10/2023,15/2/2024,1,3,Low
CAM0063,Email,Electronics,Sarawak,110.3626,1.5532,216858,3174009.558,946963,40762,0.7122,7907,,264543,4.41,98,10/11/2023,25/8/2023,,4,Medium
CAM0064,TV,Groceries,Penang,100.3314,5.4141,306185,287549,664100,16354,0.8767,,,878418,3.02,232,16/2/2023,19/5/2023,1,9,High
CAM0065,Social Media,Health,Kuala Lumpur,101.6869,3.139,,8281,514858,26611,0.0075,5513,0.6249,762477,0.69,199,20/8/2023,18/2/2024,2,2,High
CAM0066,TV,Automotive,Kuala Lumpur,101.6869,3.139,225437,281846,332104,39328,,5947,0.1784,,1.33,8,7/6/2023,13/3/2023,3,8,Medium
CAM0067,News,Health,Johor,103.662,1.492,2772000,3728380,1588730,14937,,9981,0.6021,,2.26,7,23/8/2023,20/3/2024,3,6,Medium
CAM0068,TV,Health,Penang,100.3314,5.4141,292779,257090,203723,20314,0.7739,2296,0.9396,273651,4.44,349,14/2/2023,27/8/2023,1,6,Medium
CAM0069,Social Media,Electronics,Johor,103.662,1.492,88894,102829,218181,2056,0.8144,,0.9678,910878,4.48,241,23/5/2023,18/8/2023,,,High
CAM0070,TV,Groceries,Sarawak,110.3626,1.5532,278053,396530,415251,29122,0.1604,4894,0.707350724,446049,0.65,278,14/5/2023,15/1/2024,3,5,Low
CAM0071,Social Media,Health,Penang,100.3314,5.4141,79969,23072,665371,29386,0.7338,4289,0.8788,660917,1.19,332,21/2/2023,30/7/2023,5,3,Low
CAM0072,Social Media,Automotive,Kuala Lumpur,101.6869,3.139,71778,55356,355326,9515,0.8576,2277,0.0734,593097,4.61,254,13/2/2023,24/4/2023,5,1,Medium
CAM0073,Social Media,Fashion,Sabah,116.0735,5.9783,,70812,246018,2490,0.4994,441,0.0003,585131,,330,26/3/2023,30/5/2023,3,9,Medium
CAM0074,Social Media,Groceries,Johor,103.662,1.492,84293,54524,136340,43269,0.7627,5046,0.5947,740529,1.12,301,1/1/2023,6/9/2023,5,3,Low
CAM0075,Email,Automotive,Sarawak,110.3626,1.5532,148901,323599,486902,,0.8676,1781,0.093,202282,2.48,88,22/3/2023,12/8/2023,2,,Medium
CAM0076,Radio,Health,Kuala Lumpur,101.6869,3.139,,395146,203526,786,0.9661,3407,0.5462,71688,2.78,151,17/7/2023,11/11/2023,2,3,Low
CAM0077,TV,Fashion,Penang,100.3314,5.4141,226814,249195,743976,111831.2301,0.7728,1383,0.3276,739645,,325,30/8/2023,19/7/2023,3,2,High
CAM0078,TV,Groceries,Sabah,116.0735,5.9783,433858.5916,373251,764539,39435,0.424,6377,0.2256,831961,0.99,8,24/1/2023,8/7/2023,5,,Low
CAM0079,TV,Health,Sarawak,110.3626,1.5532,,122205,521665,21669,0.9139,3261,,449988,3.77,275,26/3/2023,15/5/2023,3,3,Low
CAM0080,Billboard,Automotive,Johor,103.662,1.492,120303,,503454,5878,0.1935,5118,0.3484,735919,3.73,348,1/1/2024,20/6/2023,1,1,High
CAM0081,Billboard,Groceries,Sarawak,110.3626,1.5532,390816,284790,399811,32929,0.6498,1534,,158823,1.34,155,5/2/2023,6/7/2023,2,5,High
CAM0082,TV,Groceries,Sabah,116.0735,5.9783,360174,12534,471124,15915,0.6555,5597,0.7231,894902,4,22,11/3/2023,1/8/2023,5,7,
CAM0083,Email,Electronics,Kuala Lumpur,101.6869,3.139,57498,33870,851998,29268,0.8654,8067,0.9298,422825,1.03,295,9/3/2023,19/8/2023,4,2,Medium
CAM0084,Email,Health,Penang,100.3314,5.4141,,310139,753079,21753,0.6319,6575,0.982,109855,4.59,177,26/3/2023,5/11/2023,2,,High
CAM0085,TV,Groceries,Kuala Lumpur,101.6869,3.139,163590,198600,425955,19158,0.5237,6711,0.7908,215672,3.14,91,17/10/2023,19/8/2023,5,8,Low
CAM0086,Radio,Health,Kuala Lumpur,101.6869,3.139,288380,218987,845550,15660,0.3849,7556,,653856,3.74,,8/11/2023,15/2/2023,3,8.891494937,Medium
CAM0087,Radio,Groceries,Kuala Lumpur,101.6869,3.139,33982,249632,131540,16106,0.8329,3228,0.4847,705389,2,82,15/7/2023,19/8/2023,3,10,Medium
CAM0088,Email,Electronics,Kuala Lumpur,101.6869,3.139,464714,298018,,34604,0.338,2323,,688269,2.29,113,27/2/2023,15/6/2023,4,3,Low
CAM0089,Billboard,Automotive,Johor,103.662,1.492,261293,239895,30717,21332,0.1701,9265,0.4716,980255,1.68,,10/3/2023,10/5/2023,4,,Low
CAM0090,Billboard,Health,Johor,103.662,1.492,300266,12107,989271,13912,0.7189,3766,0.9125,979816,0.23,254,6/12/2023,3/1/2024,5,,Medium
CAM0091,Social Media,Automotive,Sarawak,110.3626,1.5532,240678,262587,675119,33224,0.9828,713,0.0258,211201,0.72,86,9/6/2023,28/6/2023,4,7,High
CAM0092,TV,Health,Sabah,116.0735,5.9783,57369,387773,944271,33114,0.2414,5122,0.3162,526244,1.85,27,30/6/2023,30/3/2023,2,6,Low
CAM0093,Social Media,Groceries,Johor,103.662,1.492,134306,233715,,,0.6857,43686.65023,0.0282,752108,3.87,304,16/8/2023,28/9/2023,4,9,High
CAM0094,Billboard,Groceries,Sarawak,110.3626,1.5532,,,172342,2155,0.7585,521,0.8366,,0.94,269,21/8/2023,11/10/2023,4,1,Low
CAM0095,Radio,Groceries,Sabah,116.0735,5.9783,160699,412895,540998,14098,,5785,0.4865,576303,1.09,8,12/4/2023,4/10/2023,1,10,
CAM0096,Social Media,Fashion,Kuala Lumpur,101.6869,3.139,463910,,284471,16142,0.9132,,,,3.56,,28/6/2023,18/11/2023,,10,High
CAM0097,Social Media,Health,Johor,103.662,1.492,423274,,829762,7240,0.0209,8933,0.291,249975,3.01,82,29/7/2023,31/3/2023,2,8,Medium
CAM0098,Email,Health,Penang,100.3314,5.4141,404627,384560,884588,37345,,134,0.5445,714036,0.17,326,28/9/2023,5/5/2023,3,6,
CAM0099,Social Media,Automotive,Sabah,116.0735,5.9783,379386,257773,,37271,0.1338,8242,0.5004,144096,3.95,4,25/1/2023,27/4/2023,3,,Medium
CAM0100,Billboard,Automotive,Kuala Lumpur,101.6869,3.139,,430731,,22033,0.688,871,0.5532,146253,1.49,296,19/5/2023,,1,10,High
CAM0101,Radio,Automotive,Sabah,116.0735,5.9783,357142,282818,163314,21389,0.1997,1123,0.5169,200414,1.18,,22/6/2023,31/12/2023,4,6,Low
CAM0102,Billboard,Health,Kuala Lumpur,101.6869,3.139,378728,118020,959663,10749,0.6641,9113,,552498,4.3,183,12/12/2023,23/3/2023,3,4,Medium
CAM0103,TV,Health,Penang,100.3314,5.4141,51967,3859511.734,884809,,0.5404,7366,0.4196,,1.61,84,9/11/2023,14/12/2023,5,8,
CAM0104,Billboard,Groceries,Johor,103.662,1.492,,,708475,34889,0.6479,8835,0.9255,877920,0.33,61,23/2/2023,18/12/2023,,,High
CAM0105,Radio,Electronics,Johor,103.662,1.492,,,37124,17742,0.0668,4117,0.0016,624303,3.52,40,28/4/2023,17/8/2023,4,3,Low
CAM0106,TV,Health,Sarawak,110.3626,1.5532,385762,230257,897917,29593,,,0.3254,216606,4.46,349,14/7/2023,5/2/2023,,9,High
CAM0107,Radio,Electronics,Sarawak,110.3626,1.5532,100306,269112,,,0.7742,1752,0.0579,332355,3.34,260,23/12/2023,26/6/2023,2,4,High
CAM0108,TV,Automotive,Johor,103.662,1.492,160492,211951,367940,40491,0.1646,9869,0.0404,,2.64,107,17/5/2023,28/9/2023,4,2,
CAM0109,Billboard,Electronics,Johor,103.662,1.492,320750,230161,233502,47781,0.6888,8677,0.1964,501123,4.95,343,4/2/2023,6/7/2023,5,7,High
CAM0110,TV,Automotive,Penang,100.3314,5.4141,4307827.465,371115,,23215,0.7115,845,0.132,,4.7,81,18/1/2023,24/8/2023,3,1,Low
CAM0111,Radio,Groceries,Kuala Lumpur,101.6869,3.139,,,851075,45881,,8162,0.8425,570757,2.87,237,15/4/2023,,4,2,Low
CAM0112,Radio,Health,Sabah,116.0735,5.9783,330221,180781,941603,22330,0.973,7650,,,3.56,298,20/10/2023,14/10/2023,5,3,Low
CAM0113,Billboard,Groceries,Penang,100.3314,5.4141,354907,447908,752443,20911,,2484,0.6684,40384,3.18,50,15/8/2023,8/6/2023,,10,High
CAM0114,Email,Fashion,Sabah,116.0735,5.9783,260497,79942,785266,34954,0.4223,7406,0.1399,45025,2.25,139,28/3/2023,23/12/2023,5,3,Low
CAM0115,Email,Health,Kuala Lumpur,101.6869,3.139,12364,144626,2004728.166,,0.1152,,0.2745,271810,2.02,37,9/8/2023,27/11/2023,4,2,Medium
CAM0116,Billboard,Groceries,Sarawak,110.3626,1.5532,231366,,114928,44649,0.2186,8070,6.669730957,233907,4.92,272,20/1/2023,,2,3,Medium
CAM0117,Social Media,Automotive,Kuala Lumpur,101.6869,3.139,90141,237959,272357,42418,0.2807,9391,0.6803,710913,1.57,293,22/2/2023,30/11/2023,1,7,Medium
CAM0118,Billboard,Groceries,Penang,100.3314,5.4141,480930,64444,612005,26940,0.3104,8268,0.6607,,4.11,332,26/3/2023,20/6/2023,,4,High
CAM0119,Social Media,Automotive,Sarawak,110.3626,1.5532,155800,,,28136,0.7163,,0.2687,771809,,,4/4/2023,25/4/2023,5,4,Medium
CAM0120,Billboard,Groceries,Sabah,116.0735,5.9783,177411,209574,320821,,0.6235,1603,,211295,3.3,233,18/5/2023,15/2/2023,5,10,Medium
CAM0121,Social Media,Automotive,Sabah,116.0735,5.9783,38132,326709,252166,34620,0.1976,1288,0.495,18120,2.16,,7/2/2023,31/8/2023,4,2,Low
CAM0122,Radio,Groceries,Kuala Lumpur,101.6869,3.139,218230,,934260,,0.9518,1583,0.5598,445207,4.5,189,19/10/2023,20/6/2023,2,3,High
CAM0123,Social Media,Electronics,Kuala Lumpur,101.6869,3.139,,79669,,13665,0.3142,6246,0.4207,850279,4.01,168,4/12/2023,11/2/2023,5,7,Low
CAM0124,TV,Fashion,Sarawak,110.3626,1.5532,385066,274640,,94566.20048,0.4709,5920,0.6647,196150,0.32,45,23/3/2023,2/11/2023,2,2,High
CAM0125,Radio,Fashion,Kuala Lumpur,101.6869,3.139,367644,199812,,38464,0.7237,3280,,513039,3.75,319,4/10/2023,21/5/2023,4,8,High
CAM0126,Radio,Health,Johor,103.662,1.492,183607,169257,633163,22412,0.1213,1181,0.8013,56472,,230,25/2/2023,1/3/2023,4,6,High
CAM0127,Social Media,Health,Johor,103.662,1.492,238025,335445,800413,4721,0.7824,4309,0.4086,197236,3.72,186,21/1/2023,29/11/2023,2,1,Low
CAM0128,TV,Groceries,Johor,103.662,1.492,21139,184164,902187,36833,0.4878,5239,0.9578,238663,3.07,5,26/7/2023,,5,4,Medium
CAM0129,Billboard,Electronics,Sarawak,110.3626,1.5532,291008,150752,226048,42231,0.3343,3400,0.0125,749418,4.24,,12/7/2023,22/8/2023,3,3,Medium
CAM0130,Radio,Electronics,Kuala Lumpur,101.6869,3.139,82104,132018,386855,21611,0.3222,9138,0.5218,583604,3.09,237,11/11/2023,18/6/2023,5,6,Medium
CAM0131,Billboard,Groceries,Sarawak,110.3626,1.5532,47678,292433,7241226.414,12710,0.9863,8433,0.8484,7267643.448,3.67,100,29/8/2023,28/1/2023,4,5,Low
CAM0132,Email,Electronics,Kuala Lumpur,101.6869,3.139,219535,262703,560420,32668,0.2104,2548,0.5581,41733,0.66,47,19/11/2023,15/2/2023,3,2,Low
CAM0133,Social Media,Health,Penang,100.3314,5.4141,490566,25641,,19196,0.2559,3107,0.0686,,1.57,229,19/7/2023,9/10/2023,3,,Low
CAM0134,Email,Electronics,Johor,103.662,1.492,,251964,538581,16738,0.7746,8419,,469199,1.29,15,12/7/2023,22/10/2023,1,9,Medium
CAM0135,Billboard,Health,Sabah,116.0735,5.9783,12366,234663,186530,,0.8397,2922,,788902,1.18,294,7/7/2023,15/4/2023,3,5,Medium
CAM0136,Social Media,Groceries,Kuala Lumpur,101.6869,3.139,284559,338426,436638,34583,0.9567,2308,0.4558,330802,3.26,196,11/9/2023,11/5/2023,1,6,Low
CAM0137,Email,Electronics,Sarawak,110.3626,1.5532,94948,148890,225602.9389,29162,0.1989,8772,0.2973,318169,0.65,261,25/11/2023,7/2/2023,3,6,Low
CAM0138,Email,Automotive,Penang,100.3314,5.4141,,55596,40289,58765.1584,0.572,9476,0.9797,407717,4.4,310,24/5/2023,12/12/2023,3,3,Medium
CAM0139,Billboard,Automotive,Sarawak,110.3626,1.5532,98567,244748,22553,24754,,8824,0.9315,437682,2.49,5,22/11/2023,17/12/2023,4,4,Low
CAM0140,TV,Electronics,Sarawak,110.3626,1.5532,97559,,580849,16142,0.8524,573,0.5465,87707,3.92,127,9/6/2023,16/1/2023,4,10,High
CAM0141,Email,Automotive,Sabah,116.0735,5.9783,64486,314571,434971,16657,0.24,,,363367,4.99,98,26/7/2023,5/10/2023,3,8,
CAM0142,Social Media,Groceries,Kuala Lumpur,101.6869,3.139,180422,92887,935265,35234,0.7585,4769,0.0288,802637,3.19,155,19/8/2023,11/5/2023,1,,Medium
CAM0143,Billboard,Fashion,Kuala Lumpur,101.6869,3.139,223402,264617,4925670.989,40803,0.8217,8879,0.1975,7411,4.64,,18/4/2023,29/4/2023,,5,High
CAM0144,Billboard,Automotive,Johor,103.662,1.492,98756,219273,,32813,0.1195,6502,0.2727,164252,4.43,,9/11/2023,25/2/2023,3,6,Low
CAM0145,Email,Fashion,Sarawak,110.3626,1.5532,402625,200947,353981,17787,0.0056,,0.5271,,0.56,326,29/12/2023,31/10/2023,4,5,Low
CAM0146,Radio,Health,Sarawak,110.3626,1.5532,452432,90581,771945,25515,0.1725,1901,0.7922,760894,2.24,170,10/5/2023,27/1/2023,4,62.24046456,High
CAM0147,Email,Groceries,Sarawak,110.3626,1.5532,44060,48130,341885,23313,0.585,6473,,552440,0.08,13,1/3/2023,28/8/2023,2,8,Medium
CAM0148,Social Media,Electronics,Johor,103.662,1.492,357733,13878,291974,34323,0.3569,2415,0.1842,261795,1.51,3,16/11/2023,27/10/2023,,4,Medium
CAM0149,Social Media,Health,Kuala Lumpur,101.6869,3.139,,228399,,48329,0.1687,1918,0.433,405193,3.25,,26/8/2023,6/6/2023,1,1,High
CAM0150,Radio,Groceries,Johor,103.662,1.492,430757,97151,,27991,,5090,0.6623,432178,0.3,,12/4/2023,5/5/2023,2,3,Low
CAM0151,TV,Automotive,Kuala Lumpur,101.6869,3.139,,436874,879918,20690,0.2506,5394,0.0233,585676,,196,29/10/2023,26/9/2023,4,10,Low
CAM0152,TV,Automotive,Kuala Lumpur,101.6869,3.139,299125,166788,130885,43689,0.6019,7327,,897815,0.34,160,7/7/2023,16/4/2023,1,2,Low
CAM0153,Billboard,Automotive,Kuala Lumpur,101.6869,3.139,70190,236887,717049,15580,0.6356,3588,0.19,166345,2.93,,10/4/2023,21/12/2023,1,9,Low
CAM0154,Social Media,Electronics,Johor,103.662,1.492,152979,365640,992701,,0.6279,4547,0.4501,908352,2.18,281,3/11/2023,17/4/2023,2,1,Low
CAM0155,TV,Electronics,Kuala Lumpur,101.6869,3.139,419998,334562,188338,35533,3.842427363,4978,0.1994,165752,,306,9/1/2023,5/9/2023,4,10,Low
CAM0156,Email,Automotive,Johor,103.662,1.492,322614,,595290,11050,0.2808,,,388852,0.79,203,28/10/2023,22/11/2023,1,2,Medium
CAM0157,TV,Automotive,Johor,103.662,1.492,143039,333146,618531,41959,0.8567,1596,0.4405,61592,4.73,40,4/7/2023,8/4/2023,4,5,Low
CAM0158,Email,Groceries,Kuala Lumpur,101.6869,3.139,57558,11311,,15138,0.006,7558,0.5934,661168,1.34,228,16/11/2023,30/8/2023,4,,Medium
CAM0159,Social Media,Fashion,Johor,103.662,1.492,,70451,,66579.16034,0.0086,8409,0.6835,896352,1.86,108,25/12/2023,7/1/2023,1,7,Low
CAM0160,Social Media,Electronics,Sarawak,110.3626,1.5532,26117,130586,,40763,0.8899,2828,0.117,154719,1.27,165,13/1/2023,21/1/2023,4,5,Low
CAM0161,Radio,Groceries,Kuala Lumpur,101.6869,3.139,375641,46319,,38367,0.7899,5178,0.1527,924017,,,7/4/2023,27/1/2023,3,2,Medium
CAM0162,Social Media,Electronics,Kuala Lumpur,101.6869,3.139,254510,97162,312047,39003,0.4507,3998,0.5032,729173,,142,30/3/2023,8/1/2023,4,4,Low
CAM0163,Billboard,Groceries,Kuala Lumpur,101.6869,3.139,406629,,684459,49577,0.8422,6747,0.1503,,4.49,156,6/10/2023,17/10/2023,5,3,Medium
CAM0164,Radio,Groceries,Johor,103.662,1.492,474698,,956837,33147,0.9396,4115,0.5375,673159,1.55,28,26/2/2023,3/3/2023,2,,Medium
CAM0165,Email,Health,Penang,100.3314,5.4141,169368,47630,615547,25691,0.0659,9902,0.9838,347872,24.00101769,181,10/7/2023,,,10,High
CAM0166,Billboard,Electronics,Penang,100.3314,5.4141,,209241,790702,35784,0.7419,9680,0.3386,69123,4.27,80,12/1/2023,22/5/2023,3,,Medium
CAM0167,Social Media,Health,Kuala Lumpur,101.6869,3.139,,36501,489954,,0.5498,1345,0.7654,866680,1.11,211,21/3/2023,9/2/2023,2,44.45747469,Medium
