,Unnamed: 0,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,maintanance_fee,completion_rate,competition_rate_x,competition_rate_y
17,17,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650.0,0.0,8.0,1462.5,new,213.0,213.0
18,18,,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,2.0,1784.0,0.0,4.0,0.0,new,5.0,5.0
19,19,,1800,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,1100.0,2.0,8.0,0.0,new,1.0,1.0
20,20,2021.0,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,0.0,8.0,1462.5,new,213.0,213.0
21,21,2021.0,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,1.0,8.0,1462.5,new,213.0,213.0
22,22,2021.0,1199,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,0.0,8.0,1842.75,new,213.0,213.0
23,23,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,0.0,8.0,1462.5,new,213.0,213.0
24,24,,1000,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,650.0,0.0,3.0,0.0,new,16.0,16.0
25,25,,1100,room,Kuala Lumpur,Cheras,Condominium,1,1.0,1.0,900.0,1.0,9.0,0.0,new,27.0,27.0
26,26,,1400,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1140.0,0.0,6.0,0.0,new,19.0,19.0
27,27,,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,900.0,0.0,5.0,0.0,new,27.0,27.0
28,28,2017.0,2500,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1500.0,1.0,6.0,3375.0,new,9.0,9.0
29,29,2017.0,2900,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1719.0,2.0,6.0,3867.75,new,9.0,9.0
30,30,2006.0,1750,house,Kuala Lumpur,Sentul,Apartment,3,,2.0,1065.0,1.0,,4781.85,moderate,19.0,19.0
31,31,,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,885.0,2.0,,0.0,new,34.0,34.0
32,32,2015.0,1900,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300.0,1.0,,2925.0,new,18.0,18.0
33,33,,1500,room,Kuala Lumpur,Jalan Kuching,Studio,1,1.0,1.0,530.0,2.0,6.0,0.0,new,2.0,2.0
34,34,,2400,house,Kuala Lumpur,Bandar Menjalara,Condominium,3,1.0,2.0,1316.0,2.0,8.0,0.0,new,5.0,5.0
35,35,2015.0,4500,house,Kuala Lumpur,Desa Pandan,Service Residence,3,2.0,2.0,1539.0,2.0,4.0,3462.75,new,23.0,23.0
36,36,1999.0,1400,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1270.0,1.0,10.0,11417.300000000001,old,4.0,4.0
37,37,2021.0,1800,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,10.0,1842.75,new,213.0,213.0
38,38,,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,950.0,1.0,2.0,0.0,new,9.0,9.0
39,39,2019.0,3000,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1200.0,2.0,11.0,2700.0,new,14.0,14.0
40,40,2004.0,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,9.0,9889.0,old,42.0,42.0
41,41,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066.0,2.0,,4786.34,moderate,46.0,46.0
42,42,,2100,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,706.0,2.0,9.0,0.0,new,21.0,21.0
43,43,2015.0,2500,house,Kuala Lumpur,Ampang Hilir,Condominium,2,1.0,1.0,890.0,2.0,6.0,2002.5,new,10.0,10.0
44,44,2020.0,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650.0,1.0,9.0,1462.5,new,47.0,47.0
45,45,2007.0,2000,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,1.0,2.0,742.0,2.0,7.0,3331.5800000000004,moderate,22.0,22.0
46,46,,2000,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,2.0,2.0,0.0,new,36.0,36.0
47,47,2002.0,2100,house,Kuala Lumpur,Cheras,Condominium,4,1.0,3.0,1300.0,2.0,6.0,11687.0,old,5.0,5.0
48,48,,1300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,805.0,1.0,9.0,0.0,new,20.0,20.0
49,49,2020.0,2600,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,2.0,1000.0,2.0,8.0,2250.0,new,17.0,17.0
50,50,2015.0,2000,room,Kuala Lumpur,Ampang Hilir,Service Residence,1,1.0,1.0,440.0,2.0,6.0,990.0,new,10.0,10.0
51,51,,2500,house,Kuala Lumpur,Bandar Menjalara,Condominium,5,2.0,3.0,1600.0,2.0,8.0,0.0,new,5.0,5.0
52,52,2020.0,2500,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1028.0,2.0,14.0,2313.0,new,40.0,40.0
53,53,,2000,house,Kuala Lumpur,Setapak,Condominium,4,,2.0,940.0,2.0,10.0,0.0,new,,
54,54,,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,860.0,2.0,10.0,0.0,new,,
55,55,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,1.0,1.0,0.0,new,,
56,56,,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,914.0,1.0,10.0,0.0,new,,
57,57,,2000,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,2.0,10.0,0.0,new,,
58,58,,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,1.0,10.0,0.0,new,,
59,59,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,1.0,4.0,0.0,new,,
60,60,,1850,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,2.0,14.0,0.0,new,,
61,61,,1700,house,Kuala Lumpur,Sentul,Condominium,4,2.0,3.0,1200.0,1.0,14.0,0.0,new,,
62,62,,1700,house,Kuala Lumpur,Jalan Ipoh,Service Residence,2,1.0,2.0,904.0,2.0,14.0,0.0,new,,
63,63,,1800,house,Kuala Lumpur,Kepong,Condominium,4,2.0,2.0,1300.0,1.0,14.0,0.0,new,,
64,64,2017.0,1600,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,950.0,1.0,,2137.5,new,1.0,1.0
65,65,,1600,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,1.0,14.0,0.0,new,,
66,66,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650.0,0.0,8.0,1462.5,new,213.0,213.0
67,67,,1000,house,Kuala Lumpur,KLCC,Apartment,3,2.0,2.0,1000.0,1.0,9.0,0.0,new,1.0,1.0
68,68,,2700,house,Kuala Lumpur,Setiawangsa,Condominium,3,,2.0,1115.0,1.0,6.0,0.0,new,11.0,11.0
69,69,2019.0,1400,house,Kuala Lumpur,Gombak,Service Residence,3,1.0,2.0,850.0,0.0,14.0,1912.5,new,49.0,49.0
70,70,,1500,house,Kuala Lumpur,Cheras,Condominium,2,1.0,1.0,717.0,2.0,13.0,0.0,new,27.0,27.0
71,71,2017.0,1350,house,Kuala Lumpur,Wangsa Maju,Apartment,3,1.0,2.0,850.0,1.0,,1912.5,new,51.0,51.0
72,72,2021.0,3000,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,864.0,2.0,11.0,1944.0,new,33.0,33.0
73,73,2017.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1150.0,0.0,8.0,2587.5,new,42.0,42.0
74,74,,2500,house,Kuala Lumpur,Pantai,Condominium,3,,2.0,1500.0,2.0,5.0,0.0,new,5.0,5.0
75,75,2015.0,7000,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076.0,2.0,8.0,2421.0,new,5.0,5.0
76,76,,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,1000.0,0.0,6.0,0.0,new,23.0,23.0
77,77,,900,house,Kuala Lumpur,Cheras,Apartment,2,1.0,1.0,550.0,1.0,5.0,0.0,new,7.0,7.0
78,78,,1300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,967.0,1.0,8.0,0.0,new,14.0,14.0
79,79,,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1184.0,1.0,6.0,0.0,new,10.0,10.0
80,80,1985.0,1300,house,Kuala Lumpur,Taman Desa,Condominium,2,1.0,2.0,1050.0,1.0,12.0,9439.5,old,4.0,4.0
81,81,2015.0,7800,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076.0,2.0,10.0,2421.0,new,5.0,5.0
82,82,2010.0,1700,house,Kuala Lumpur,Wangsa Maju,Condominium,3,,3.0,1267.0,1.0,11.0,5688.83,moderate,41.0,41.0
83,83,2010.0,2000,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,3.0,1267.0,2.0,11.0,5688.83,moderate,41.0,41.0
84,84,,2100,house,Kuala Lumpur,Sentul,Service Residence,2,,2.0,999.0,1.0,10.0,0.0,new,12.0,12.0
85,85,2015.0,1750,house,Kuala Lumpur,Sungai Besi,Condominium,3,2.0,2.0,1121.0,2.0,9.0,2522.25,new,5.0,5.0
86,86,2021.0,2000,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,872.0,2.0,11.0,1962.0,new,24.0,24.0
87,87,,1300,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,860.0,0.0,3.0,0.0,new,12.0,12.0
88,88,2012.0,1100,house,Kuala Lumpur,Sungai Besi,Condominium,3,1.0,2.0,904.0,1.0,6.0,4058.96,moderate,7.0,7.0
89,89,,1300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,835.0,2.0,10.0,0.0,new,20.0,20.0
90,90,,850,house,Kuala Lumpur,Jinjang,Apartment,3,,2.0,750.0,1.0,1.0,0.0,new,4.0,4.0
91,91,,1400,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,1129.0,2.0,11.0,0.0,new,3.0,3.0
92,92,2021.0,1900,house,Kuala Lumpur,Kepong,Service Residence,2,1.0,2.0,1132.0,1.0,11.0,2547.0,new,6.0,6.0
93,93,2021.0,1700,house,Kuala Lumpur,Sentul,Condominium,2,,1.0,700.0,1.0,10.0,1575.0,new,13.0,13.0
94,94,2022.0,2100,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000.0,1.0,9.0,2250.0,new,68.0,68.0
95,95,2015.0,1550,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142.0,1.0,8.0,2569.5,new,33.0,33.0
96,96,2006.0,1400,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1300.0,1.0,6.0,5837.0,moderate,7.0,7.0
97,97,,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884.0,2.0,7.0,0.0,new,34.0,34.0
98,98,2020.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,819.0,1.0,9.0,1842.75,new,47.0,47.0
99,99,2021.0,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,2.0,6.0,1912.5,new,140.0,140.0
100,100,2022.0,2300,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000.0,1.0,7.0,2250.0,new,68.0,68.0
101,101,2021.0,1350,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,1.0,650.0,1.0,8.0,1462.5,new,213.0,213.0
102,102,2020.0,1100,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,800.0,1.0,6.0,1800.0,new,57.0,57.0
103,103,2015.0,1700,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300.0,1.0,14.0,2925.0,new,18.0,18.0
104,104,,1800,house,Kuala Lumpur,Bangsar South,Apartment,3,1.0,2.0,1200.0,1.0,10.0,0.0,new,18.0,18.0
105,105,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,770.0,2.0,10.0,0.0,new,10.0,10.0
106,106,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,800.0,2.0,8.0,0.0,new,1.0,1.0
107,107,2021.0,1650,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,850.0,1.0,1.0,1912.5,new,140.0,140.0
108,108,2021.0,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646.0,0.0,8.0,1453.5,new,140.0,140.0
109,109,1988.0,1200,house,Kuala Lumpur,Pantai,Condominium,2,1.0,2.0,1000.0,1.0,6.0,8990.0,old,6.0,6.0
110,110,2014.0,2599,house,Kuala Lumpur,Sri Petaling,Condominium,4,3.0,5.0,1899.0,2.0,7.0,8526.51,moderate,4.0,4.0
111,111,,1400,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,1000.0,1.0,3.0,0.0,new,14.0,14.0
112,112,,2600,house,Kuala Lumpur,Wangsa Maju,Service Residence,4,,2.0,877.0,2.0,,0.0,new,10.0,10.0
113,113,,900,room,Kuala Lumpur,Setapak,Service Residence,1,1.0,1.0,360.0,2.0,10.0,0.0,new,10.0,10.0
114,114,2015.0,1200,room,Kuala Lumpur,Wangsa Maju,Service Residence,1,1.0,1.0,521.0,1.0,6.0,1172.25,new,3.0,3.0
115,115,2018.0,2500,room,Kuala Lumpur,Brickfields,Service Residence,1,1.0,1.0,468.0,2.0,1.0,1053.0,new,1.0,1.0
116,116,2019.0,2200,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,2.0,14.0,2475.0,new,32.0,32.0
117,117,,2300,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,2.0,9.0,0.0,new,36.0,36.0
118,118,2015.0,1500,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142.0,1.0,14.0,2569.5,new,33.0,33.0
119,119,,1600,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1224.0,2.0,10.0,0.0,new,8.0,8.0
120,120,,700,house,Kuala Lumpur,Sentul,Apartment,3,,1.0,700.0,0.0,2.0,0.0,new,11.0,11.0
121,121,2017.0,1900,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1193.0,1.0,12.0,2684.25,new,28.0,28.0
122,122,2018.0,2100,house,Kuala Lumpur,Ampang,Service Residence,3,2.0,2.0,1200.0,2.0,11.0,2700.0,new,48.0,48.0
123,123,,1399,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,1.0,,0.0,new,23.0,23.0
124,124,,1300,house,Kuala Lumpur,Cheras,Apartment,3,1.0,3.0,935.0,0.0,6.0,0.0,new,25.0,25.0
125,125,2021.0,1450,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1100.0,1.0,5.0,2475.0,new,64.0,64.0
126,126,,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900.0,1.0,10.0,0.0,new,12.0,12.0
127,127,,1000,house,Kuala Lumpur,Setapak,Flat,3,,2.0,650.0,0.0,,0.0,new,10.0,10.0
128,128,2012.0,1600,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,1070.0,1.0,8.0,4804.3,moderate,4.0,4.0
129,129,2021.0,2200,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850.0,2.0,8.0,1912.5,new,140.0,140.0
130,130,2012.0,2000,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560.0,2.0,5.0,2514.4,moderate,29.0,29.0
131,131,,1900,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,705.0,2.0,9.0,0.0,new,21.0,21.0
132,132,2021.0,2200,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,866.0,2.0,11.0,1948.5,new,24.0,24.0
133,133,2020.0,3300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,10.0,2137.5,new,23.0,23.0
134,134,2015.0,2000,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,600.0,2.0,6.0,1350.0,new,11.0,11.0
135,135,,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,955.0,1.0,4.0,0.0,new,11.0,11.0
136,136,,850,house,Kuala Lumpur,Setapak,Apartment,3,,1.0,650.0,0.0,4.0,0.0,new,24.0,24.0
137,137,1998.0,2500,house,Kuala Lumpur,Bangsar,Condominium,3,,2.0,1000.0,2.0,8.0,8990.0,old,1.0,1.0
138,138,1998.0,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1000.0,2.0,9.0,8990.0,old,29.0,29.0
139,139,,1650,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,1200.0,2.0,10.0,0.0,new,2.0,2.0
140,140,2021.0,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,1.0,7.0,1912.5,new,140.0,140.0
141,141,2010.0,1500,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1062.0,1.0,,4768.38,moderate,29.0,29.0
142,142,,1200,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,700.0,1.0,1.0,0.0,new,14.0,14.0
143,143,,1500,house,Kuala Lumpur,Setapak,Service Residence,3,,2.0,1040.0,1.0,6.0,0.0,new,32.0,32.0
144,144,,1500,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1333.0,1.0,,0.0,new,7.0,7.0
145,145,2023.0,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850.0,1.0,10.0,1912.5,new,115.0,115.0
146,146,,1500,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,1100.0,1.0,1.0,0.0,new,1.0,1.0
147,147,1990.0,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850.0,0.0,7.0,7641.5,old,12.0,12.0
148,148,2018.0,3700,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1325.0,2.0,,2981.25,new,5.0,5.0
149,149,2007.0,999,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962.0,0.0,10.0,4319.38,moderate,34.0,34.0
150,150,,1500,house,Kuala Lumpur,Pandan Indah,Apartment,3,,2.0,900.0,2.0,2.0,0.0,new,10.0,10.0
151,151,2022.0,2100,house,Kuala Lumpur,Taman Desa,Condominium,3,2.0,2.0,925.0,2.0,11.0,2081.25,new,57.0,57.0
152,152,1998.0,4500,house,Kuala Lumpur,Mont Kiara,Condominium,4,,3.0,1690.0,2.0,10.0,15193.1,old,5.0,5.0
153,153,2017.0,1550,room,Kuala Lumpur,Desa Pandan,Service Residence,1,1.0,1.0,570.0,2.0,6.0,1282.5,new,13.0,13.0
154,154,2021.0,2300,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,1050.0,2.0,8.0,2362.5,new,213.0,213.0
155,155,2017.0,1500,house,Kuala Lumpur,Old Klang Road,Service Residence,3,,2.0,900.0,1.0,6.0,2025.0,new,10.0,10.0
156,156,2022.0,2499,house,Kuala Lumpur,Setapak,Service Residence,4,3.0,2.0,1100.0,1.0,7.0,2475.0,new,68.0,68.0
157,157,,1450,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1150.0,2.0,12.0,0.0,new,4.0,4.0
158,158,2004.0,4000,house,Kuala Lumpur,Bukit Bintang,Condominium,4,,4.0,2200.0,2.0,8.0,19778.0,old,2.0,2.0
159,159,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650.0,1.0,8.0,1462.5,new,213.0,213.0
160,160,2021.0,1750,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,11.0,1842.75,new,213.0,213.0
161,161,2017.0,1800,room,Kuala Lumpur,Cheras,Service Residence,1,1.0,2.0,762.0,1.0,10.0,1714.5,new,14.0,14.0
162,162,,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743.0,2.0,14.0,0.0,new,11.0,11.0
163,163,2014.0,2200,room,Kuala Lumpur,Bangsar South,Condominium,1,1.0,1.0,638.0,2.0,5.0,2864.6200000000003,moderate,1.0,1.0
164,164,2015.0,1700,house,Kuala Lumpur,Pandan Jaya,Condominium,3,1.0,2.0,1072.0,1.0,7.0,2412.0,new,2.0,2.0
165,165,,2000,house,Kuala Lumpur,Bukit Jalil,Condominium,4,1.0,2.0,900.0,2.0,7.0,0.0,new,30.0,30.0
166,166,2006.0,1948,house,Kuala Lumpur,Damansara Heights,Service Residence,2,1.0,2.0,990.0,2.0,9.0,4445.1,moderate,13.0,13.0
167,167,2021.0,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850.0,1.0,5.0,1912.5,new,58.0,58.0
168,168,2023.0,2200,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,850.0,2.0,12.0,1912.5,new,115.0,115.0
169,169,2015.0,1600,house,Kuala Lumpur,Bandar Damai Perdana,Service Residence,3,2.0,2.0,1020.0,1.0,7.0,2295.0,new,7.0,7.0
170,170,,1300,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,0.0,,0.0,new,23.0,23.0
171,171,,2400,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1313.0,1.0,9.0,0.0,new,7.0,7.0
172,172,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,850.0,0.0,,1912.5,new,213.0,213.0
173,173,,2500,house,Kuala Lumpur,Segambut,Condominium,3,2.0,3.0,1537.0,2.0,11.0,0.0,new,,
174,174,,1200,house,Kuala Lumpur,Sungai Besi,Condominium,3,,2.0,800.0,0.0,5.0,0.0,new,5.0,5.0
175,175,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066.0,2.0,6.0,4786.34,moderate,46.0,46.0
176,176,2016.0,1400,room,Kuala Lumpur,Cheras,Studio,1,1.0,1.0,450.0,2.0,10.0,1012.5,new,1.0,1.0
177,177,2023.0,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850.0,1.0,9.0,1912.5,new,115.0,115.0
178,178,2022.0,550,house,Kuala Lumpur,Setapak,Service Residence,4,,3.0,1300.0,1.0,11.0,2925.0,new,68.0,68.0
179,179,,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,800.0,1.0,5.0,0.0,new,54.0,54.0
180,180,2004.0,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,1.0,10.0,9889.0,old,42.0,42.0
181,181,2004.0,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,10.0,9889.0,old,42.0,42.0
182,182,2006.0,1400,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,650.0,1.0,8.0,2918.5,moderate,19.0,19.0
183,183,2021.0,1800,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1200.0,2.0,4.0,2700.0,new,64.0,64.0
184,184,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650.0,0.0,8.0,1462.5,new,213.0,213.0
185,185,2021.0,1488,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,8.0,1842.75,new,213.0,213.0
186,186,,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850.0,0.0,,0.0,new,1.0,1.0
187,187,2018.0,2200,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,829.0,2.0,8.0,1865.25,new,4.0,4.0
188,188,,1400,house,Kuala Lumpur,Bukit Jalil,Condominium,2,1.0,2.0,980.0,2.0,7.0,0.0,new,15.0,15.0
189,189,2004.0,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,2.0,10.0,9889.0,old,42.0,42.0
190,190,,1600,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900.0,2.0,9.0,0.0,new,12.0,12.0
191,191,,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1185.0,1.0,,0.0,new,2.0,2.0
192,192,2003.0,1200,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,931.0,1.0,10.0,8369.69,old,13.0,13.0
193,193,,1500,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,950.0,1.0,1.0,0.0,new,3.0,3.0
194,194,,1400,room,Kuala Lumpur,Old Klang Road,Condominium,1,1.0,2.0,775.0,2.0,9.0,0.0,new,,
195,195,2000.0,1600,house,Kuala Lumpur,Sri Petaling,Condominium,4,,2.0,1421.0,1.0,5.0,12774.79,old,12.0,12.0
196,196,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1076.0,2.0,7.0,4831.24,moderate,46.0,46.0
197,197,,1600,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,900.0,2.0,6.0,0.0,new,15.0,15.0
